Date,Actual,Goal
1/1/2022,5504,10000
1/2/2022,7581,10000
1/3/2022,5235,10000
1/4/2022,5501,10000
1/5/2022,7467,10000
1/6/2022,7920,10000
1/7/2022,2360,10000
1/8/2022,9563,10000
1/9/2022,7969,10000
1/10/2022,9531,10000
1/11/2022,4504,10000
1/12/2022,2513,10000
1/13/2022,7180,10000
1/14/2022,6683,10000
1/15/2022,1962,10000
1/16/2022,5412,10000
1/17/2022,4832,10000
1/18/2022,3101,10000
1/19/2022,6055,10000
1/20/2022,6407,10000
1/21/2022,3746,10000
1/22/2022,6526,10000
1/23/2022,5417,10000
1/24/2022,3127,10000
1/25/2022,5697,10000
1/26/2022,5410,10000
1/27/2022,6086,10000
1/28/2022,65,10000
1/29/2022,2802,10000
1/30/2022,2909,10000
1/31/2022,2042,10000
2/1/2022,4213,10000
2/2/2022,3980,10000
2/3/2022,5554,10000
2/4/2022,10150,10000
2/5/2022,15949,10000
2/6/2022,12273,10000
2/7/2022,16334,10000
2/8/2022,5787,10000
2/9/2022,11252,10000
2/10/2022,3025,10000
2/11/2022,6612,10000
2/12/2022,12493,10000
2/13/2022,10396,10000
2/14/2022,10259,10000
2/15/2022,4270,10000
2/16/2022,8701,10000
2/17/2022,5560,10000
2/18/2022,9737,10000
2/19/2022,7880,10000
2/20/2022,4672,10000
2/21/2022,9953,10000
2/22/2022,4455,10000
2/23/2022,10423,10000
2/24/2022,3695,10000
2/25/2022,6227,10000
2/26/2022,1880,10000
2/27/2022,11694,10000
2/28/2022,2639,10000
3/1/2022,4738,10000
3/2/2022,4366,10000
3/3/2022,4275,10000
3/4/2022,12801,10000
3/5/2022,5715,10000
3/6/2022,4898,10000
3/7/2022,2646,10000
3/8/2022,2137,10000
3/9/2022,4204,10000
3/10/2022,1879,10000
3/11/2022,2833,10000
3/12/2022,6921,10000
3/13/2022,4913,10000
3/14/2022,13701,10000
3/15/2022,4149,10000
3/16/2022,8203,10000
3/17/2022,5054,10000
3/18/2022,2681,10000
3/19/2022,4380,10000
3/20/2022,158,10000
3/21/2022,2175,10000
3/22/2022,11441,10000
3/23/2022,5400,10000
3/24/2022,3904,10000
3/25/2022,2562,10000
3/26/2022,8258,10000
3/27/2022,6554,10000
3/28/2022,4770,10000
3/29/2022,5433,10000
3/30/2022,5870,10000
3/31/2022,4588,10000
4/1/2022,11013,10000
4/2/2022,9844,10000
4/3/2022,5654,10000
4/4/2022,7040,10000
4/5/2022,3377,10000
4/6/2022,9073,10000
4/7/2022,6528,10000
4/8/2022,11215,10000
4/9/2022,10817,10000
4/10/2022,3118,10000
